Instructions					
Changes	Element Name	Definition	Guidelines	Country/Industry	Sample Data
Revised	Car Benefit Type	The type of car benefit for which the incumbent is eligible.	"Do not include pool cars or transportation allowances.

C-Company car only
A-Car Allowance only (in lieu of a company car)
E-Choice of Company Car or Car Allowance (in lieu of a company car)
S-Company-Financed or Subsidized Employee Car Purchase LATAM ONLY
N-Incumbent is not eligible for either a company car or a car allowance

Report only the data element(s) that correspond to the Car Benefit Type selected for each incumbent.
- If Company Car only (C) is selected, only report the Car Make and Model, Car Purchase Cost, Car Benefit Eligibility Criteria and where applicable, Annual Car Leasing Cost and Car Lease Type.
- If Annual Car Allowance only (A) is selected, only report the Car Allowance Amount and Car Benefit Eligibility Criteria.
- If Choice of Company Car or Car Allowance (E) is selected, report both Company Car data elements, Car Allowance Amount and Car Benefit Eligibility Criteria.
- If Company-financed or subsidized employee car purchase (S) (LATAM ONLY) is selected, only report the Car Purchase Cost and Car Benefit Eligibility Criteria."		C
	Car Benefit Eligibility Criteria	The criteria for allocating a car benefit.	"S-Eligibility Based on Job Status
R-Eligibility Based on Nature of Job/Job Requirements"		S
	Car Make and Model	The make and model, including engine size (in liters), of the car provided to incumbent according to the organization's car policy. The car may be used for business and/or personal use.	"Example: enter ""AUDI A4 2.0"" (in this example, Make: AUDI and Model: A4 2.0).

Do not include pool cars."		AUDI A4 2.0
	Currency of Car Benefit Amounts	The currency code for the reported car benefit amounts.	Refer to the Country Codes tab.		GBP
	Car Purchase Cost	The full purchase cost of the car to which the incumbent is entitled, including manufacturer's retail list price plus all purchase taxes.	"Report the full purchase cost of the typical car to which the incumbent is entitled (not necessarily the purchase cost of the specific car the incumbent has selected). The full purchase cost includes manufacturer's retail list (pre-discount) price plus all purchase taxes such as VAT and local taxes (e.g., BPM in the Netherlands, TVTS in France, COE in Singapore). Report amount in the currency indicated in the Currency of Car Benefit Amounts element.

Do not include pool cars."		99,999
	Annual Car Leasing Cost	The annual cost of leasing the car to which the incumbent is entitled regardless of type of car lease. Including any insurance cost. Excluding VAT, local tax and fuel/electricity costs.	"Report the typical annual cost of leasing the car to which the incumbent is entitled (not necessarily the annual lease cost of the specific car that incumbent has selected). The full annual leasing cost includes insurance cost and excludes VAT, local taxes and fuel/electricity costs. Report amount in the currency indicated in the Currency of Car Benefit Amounts element.
Do not include pool cars."		9,999
	Car Lease Type	Type of lease if organization finances company cars through a lease arrangement.	"A-Contract hire/operating lease WITH maintenance (i.e., finance company maintains the car)
B-Contract hire/operating lease WITHOUT maintenance (i.e., finance company does not have responsibility for maintenance)
C-Finance lease (i.e., leases that transfer to the lessee substantially all the risks and rewards incidental to ownership of the car. All other leases are contract/hire operating leases. Finance leases do not typically include maintenance.)"		C
Revised	Annual Car Allowance Amount	"The annualized cash amount paid to eligible employees in lieu of a company car.

Includes allowances for all car expenses covered such as, but not limited to, car, fuel/electricity for private use (the trip to and from the work location is considered private use), maintenance, insurance, tolls.

Excludes transportation allowances and fuel/electricity expenses for business use."	"Report the total annual sum of allowance(s) for all car expenses covered such as, but not limited to, car, fuel/electricity for private use (the trip to and from the work location is considered private use), maintenance, insurance, tolls. Exclude transportation allowances and fuel/electricity expenses for business use. Report amount in the currency indicated in the Currency of Car Benefit Amounts element.

If your company pays a Car Bonus in lieu of the car, provide the annualized amount (considering the whole period until the next grant), including any additional amount paid separately to cover expenses."		9,999
Other Benefits					
	Eligible for Retirement Plan	Indicate whether the incumbent is eligible for a participation in a voluntary organization retirement plan. Eligibility aligned with a collective agreement should not be considered voluntary.	"Y-Eligible
N-Not eligible"	APAC, EMEA ONLY	Y
	Organization Contribution to Pension Plan/Retirement	The annual value of the retirement fund contribution PAID BY THE ORGANIZATION for voluntary organization pension/retirement plans. Do not include here mandatory contributions to state pensions or contributions to plans defined by collective agreements.		APAC ONLY	2,000
LTI Eligibility					
	Eligible for Long-Term Incentive	Eligibility for long-term incentives.	"Y-if the incumbent is eligible, even if no award was granted.
N-if the incumbent is not eligible."		Y
Long-Term Incentives Plan Data 					
	Long-Term Incentive Plan Type	Type of long-term grant data being reported.	"PP-Performance Plan Awards: Performance Plan Awards are contingent grants of cash or stock that are earned in whole or in part according to the degree of achievement of performance goals over a defined period (usually three years). In EMEA, some grants can be contingent upon bonus deferral (deferred bonus matching plans) or the purchase of company stock (co-investment plans).

RS-Restricted Stock/Stock Units: Restricted Stock/Stock Units are grants of stock or stock units at no or nominal cost. The restrictions and risk of forfeiture lapse with continued employment over a period of years. If vesting also includes a performance condition, such condition is considered to be nominal with a high likelihood of being attained. Dividends or dividend equivalents may be paid or accrued during the restricted period.

SO-Stock Options/SARs: Stock Options are rights to purchase a fixed number of shares of a company's stock, at a stated price for a specified period of time. Stock Appreciation Rights (SARs) are rights to receive payment equal in value to the appreciation on a share of stock between the date on which the SAR was granted and the date on which the employee exercises his/her appreciation rights."		PP
	Grant Date	Date the grant was made.	"Provide date of grants in the last 12 months. Enter the date in your normal date format (DD/MM/YY or MM/DD/YY depending on user default).

For special grants provided in lieu of annual grants and for multi-year or mega grants, please enter your most recent grant which could be more than 12 months ago."		1-3-2023
	Grant Price Currency	The currency code for the grant.	"Enter the currency for the grant price reported. For example, enter USD for U.S. Dollars, CAD for Canadian Dollars, EUR for Euros, CHF for Swiss Francs and GBP for Pounds Sterling.

For performance cash plans this is the currency in which the cash award is expressed."		GBP
	Grant Price Per Share/Unit	Price of the share or unit at the time of grant.	Round all prices to two decimal places (e.g., 12.125 should be entered as 12.13). If you are reporting a performance cash plan, co-investment shares and/or deferred bonus matching shares enter 1.00.		50.00
	Accounting Value per Share/Unit of Award	For each share-based award, please enter the Fair Value of the award at the date of grant. The Fair Value is the per share value of the award at grant as calculated under International Financial Reporting Standards - IFRS(2) or the equivalent under local country GAAP. Please note that this grant-date Fair Value may be provided by your finance department.	"If you are reporting a performance cash award, enter 1.00.
Values should reflect the grant date accounting value per unit of the award (e.g., 52.25 for a single performance share). All values should be rounded to two decimal places (e.g., 52.2512 should be entered as 52.25). The currency should be the same as the Grant Price Currency."		52.25
	Number of Shares/Units Granted	"The number of options, shares or units granted.
 
For performance plans, the values provided should be shares/cash/units for the upcoming cycle, not payouts from the cycle that just ended."	"Do not report actual payouts or awards for the cycle that just ended.

For newly hired employees or those near retirement who are long-term incentive eligible but did not receive a grant, enter an estimate. For performance unit or share plans, enter the target award opportunity (for defined target plans) or maximum award opportunity (for defined maximum plans) for the cycle that started most recently.

For performance cash, co-investment shares and deferred bonus matching plans, for convenience and as a convention, report the full award value and enter 1.00 under grant price per share/unit.

For Performance Cash plans, enter the target award (e.g., if an incumbent could earn 100% of base salary if target performance is achieved and the incumbent's base salary is 200,000, enter 200,000 and use the Base Salary currency as the Grant Price Currency).

For Co-Investment Shares, report the maximum opportunity multiplied by the maximum share-matching on that investment. For example, if the maximum investment opportunity is 50% of a 200,000 base salary and the company will match a maximum of 50% of that investment, the award value is 50% x 200,000 x 50% = 50,000.

For Deferred Bonus Matching Shares, report the maximum deferral opportunity (compulsory and/or voluntary) multiplied by the maximum company match on that deferral. For example, if the incumbent can defer up to 50% of a 100,000 target bonus and the company will match 100%, the award value is 50% x 100,000 x 100% = 50,000."		10,000
